Country Name,Country Code,Indicator Name,Indicator Code,Region,Income Group,Year,Value
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,Low income,2015,60.107
Burundi,BDI,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sub-Saharan Africa,Low income,2015,525.0
Burundi,BDI,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Sub-Saharan Africa,Low income,2015,41.8
Burundi,BDI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sub-Saharan Africa,Low income,2015,66.9
Cabo Verde,CPV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa,Upper middle income,2015,4.40073681
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,Upper middle income,2015,74.096
Cabo Verde,CPV,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sub-Saharan Africa,Upper middle income,2015,46.0
Cabo Verde,CPV,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Sub-Saharan Africa,Upper middle income,2015,17.6
Cabo Verde,CPV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sub-Saharan Africa,Upper middle income,2015,19.2
Cambodia,KHM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific,Lower middle income,2015,4.53898621
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific,Lower middle income,2015,69.398
Cambodia,KHM,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,East Asia & Pacific,Lower middle income,2015,166.0
Cambodia,KHM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,East Asia & Pacific,Lower middle income,2015,25.8
Cambodia,KHM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,East Asia & Pacific,Lower middle income,2015,29.6
Cameroon,CMR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa,Lower middle income,2015,4.12600517
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,Lower middle income,2015,59.687
Cameroon,CMR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sub-Saharan Africa,Lower middle income,2015,417.0
Cameroon,CMR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Sub-Saharan Africa,Lower middle income,2015,53.3
Cameroon,CMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sub-Saharan Africa,Lower middle income,2015,88.5
Canada,CAN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,North America,High income,2015,10.76397896
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,High income,2015,81.82585365853659
